"filename", "language", "Dart", "comment", "blank", "total"
"d:\ALLy\ally\lib\history_screen.dart", "Dart", 115, 0, 13, 128
"d:\ALLy\ally\lib\login_screen.dart", "Dart", 491, 0, 39, 530
"d:\ALLy\ally\lib\login_service.dart", "Dart", 352, 23, 47, 422
"d:\ALLy\ally\lib\main.dart", "Dart", 58, 6, 7, 71
"d:\ALLy\ally\lib\map_handlers\absence_reason_dialog.dart", "Dart", 318, 9, 26, 353
"d:\ALLy\ally\lib\map_handlers\history_entry.dart", "Dart", 49, 0, 5, 54
"d:\ALLy\ally\lib\map_handlers\history_service.dart", "Dart", 59, 1, 7, 67
"d:\ALLy\ally\lib\map_handlers\map_animations.dart", "Dart", 84, 0, 14, 98
"d:\ALLy\ally\lib\map_handlers\map_service.dart", "Dart", 81, 5, 9, 95
"d:\ALLy\ally\lib\map_handlers\student_info_modal.dart", "Dart", 522, 7, 27, 556
"d:\ALLy\ally\lib\map_handlers\student_model.dart", "Dart", 159, 12, 27, 198
"d:\ALLy\ally\lib\map_handlers\teacher_assignment_service.dart", "Dart", 56, 8, 8, 72
"d:\ALLy\ally\lib\map_screen.dart", "Dart", 1483, 84, 117, 1684
"d:\ALLy\ally\lib\notification_service.dart", "Dart", 82, 4, 18, 104
"d:\ALLy\ally\lib\profile_page.dart", "Dart", 1072, 34, 65, 1171
"Total", "-", 4981, 193, 429, 5603